auto_code,tik_id,tik,link_orig,link_save
77,2677,ТИК района Орехово-Борисово Южное,http://mosgorizbirkom.ru/documents/10279/132725/125_4-1_14.pdf/e065bf6e-8100-4072-b92b-b3033b928915,
77,2678,ТИК района Отрадное,http://mosgorizbirkom.ru/documents/10279/132725/064_4-1_08.pdf/743c76ea-ce81-4781-a92b-40c5b866bfde,
77,2679,ТИК района Очаково-Матвеевское,http://mosgorizbirkom.ru/documents/10279/132725/025_4-1_10.pdf/52eaab18-bf02-4186-bc20-6ee3e120ab12,
77,2680,ТИК района Перово,http://mosgorizbirkom.ru/documents/10279/132725/011_4-1_06.pdf/6562e29c-1a5a-4d49-841b-1af65fcfdc3d,
77,2681,ТИК района Печатники,http://mosgorizbirkom.ru/documents/10279/132725/097_4-1_05.pdf/e60535c1-dfa4-4184-b546-28f4efbc6e25,
77,2682,ТИК района Покровское-Стрешнево,http://mosgorizbirkom.ru/documents/10279/132725/073_4-1_07.pdf/27f9200e-2cd8-493d-8bbf-b579510cb072,
77,2683,ТИК района Преображенское,http://mosgorizbirkom.ru/documents/10279/132725/013_4-1_04.pdf/550c02d9-129b-45c3-b983-41ef72190fc8,
77,2684,ТИК района Проспект Вернадского,http://mosgorizbirkom.ru/documents/10279/132725/026_4-1_05.pdf/e26e36c9-b4d0-45de-8a9b-90b658d20f1e,
77,2685,ТИК района Раменки,http://mosgorizbirkom.ru/documents/10279/132725/027_4-1_05.pdf/8f7b7675-94bc-4868-ab19-ff2981654889,
77,2686,ТИК района Ростокино,http://mosgorizbirkom.ru/documents/10279/132725/065_4-1_04.pdf/435a23f5-3437-476e-b87a-0397a5488bd4,
77,2687,ТИК района Савёлки,http://mosgorizbirkom.ru/documents/10279/132725/040_4-1_04.pdf/1b6f8be5-d4fd-45c1-86b9-c0fb01bbd09b,
77,2688,ТИК района Свиблово,http://mosgorizbirkom.ru/documents/10279/132725/066_4-1_04.pdf/1e6c5679-ca2c-4509-a494-98de5a3cf32c,
77,2689,ТИК района Северное Бутово,http://mosgorizbirkom.ru/documents/10279/132725/108_4-1_06.pdf/e2293061-49f0-4056-8443-e504cdc29dd4,
77,2690,ТИК района Северное Измайлово,http://mosgorizbirkom.ru/documents/10279/132725/014_4-1_05.pdf/b396510a-7371-405a-bacd-31e7fb9a031e,
77,2691,ТИК района Северное Медведково,http://mosgorizbirkom.ru/documents/10279/132725/067_4-1_06.pdf/6b76deee-8635-47bf-90a8-51af673e1ae5,
77,2692,ТИК района Северное Тушино,http://mosgorizbirkom.ru/documents/10279/132725/074_4-1_05.pdf/6d2a589c-afac-43b2-8fcd-ae1d979f6a3d,
